# prefix,country_code,region_code,city,zip

2a14:6f44:10::/48,GB,GB-TWH,London,
2a14:6f44:11::/48,CA,CA-ON,Toronto,
2a14:6f44:12::/48,DE,DE-HE,Frankfurt,
